City,Region,tif_count,Latitude,Longitude,Human Modification
Anzhero Sudzhensk,ASIA,72.18091359,56.09059591,86.02624151,0.645459328
Aomori,ASIA,104.2604855,40.83449272,140.7342427,0.811056816
Apalachicola,NORTH AMERICA,4.287975065,29.72949082,-85.0012249,0.635963495
Apatity,EUROPE,48.59705073,67.58443447,33.40144509,0.597313382
Apatzingan,NORTH AMERICA,19.29588779,19.09519461,-102.3593064,0.863560483
Apia,POLYNESIA,33.28108641,-13.83283376,-171.786445,0.669857503
Apodi,SOUTH AMERICA,0.71466251,-5.656916623,-37.8008735,0.738427147
Apolo,SOUTH AMERICA,2.858650043,-14.71117733,-68.4214153,0.41663477
Appleton,NORTH AMERICA,222.1527994,44.25516939,-88.41168783,0.838633878
Apsheronsk,EUROPE,30.73048796,44.46221152,39.72265726,0.593739745
Apucarana,SOUTH AMERICA,39.30643809,-23.54196667,-51.45617986,0.718314755
Aqadyr,ASIA,3.573312553,48.27028738,72.85878656,0.500594673
Aqsay,ASIA,12.14926268,51.17499112,52.99389871,0.677731793
Aqtau,ASIA,5.002637575,43.63597999,51.23362739,0.714138963
Aqtobe,ASIA,68.60760103,50.29522815,57.18482999,0.783377446
Aquidauana,SOUTH AMERICA,30.01582545,-20.46614338,-55.79395871,0.805810207
Ar Ramadi,ASIA,51.45570077,33.43391056,43.29204651,0.74176072
Ar Raqqah,ASIA,39.30643809,35.95721959,39.00851412,0.82689713
Ar Rutbah,ASIA,7.146625108,33.04289809,40.27856365,0.426637754
Aracaju,SOUTH AMERICA,173.4887427,-10.89802714,-37.11045493,0.679548922
Aracati,SOUTH AMERICA,4.287975064,-4.557656238,-37.77118077,0.727559469
Aracatuba,SOUTH AMERICA,56.45833835,-21.20130176,-50.44772112,0.832732265
Aracuai,SOUTH AMERICA,9.290612638,-16.85105775,-42.06909798,0.737900086
Arad,EUROPE,61.46097592,46.18471651,21.3111225,0.842212357
Araguaina,SOUTH AMERICA,12.14926268,-7.182773879,-48.20993094,0.701700243
Araguari,SOUTH AMERICA,35.73312553,-18.64389888,-48.19456508,0.77283843
Arak,ASIA,66.46361348,34.09041069,49.68783206,0.736045265
Aral,ASIA,16.43723774,46.80603702,61.6568284,0.398936058
Aranyaprathet,ASIA,7.861287616,13.69575738,102.4967295,0.795292879
Arapiraca,SOUTH AMERICA,15.72257523,-9.737366037,-36.67198531,0.733772876
Arapongas,SOUTH AMERICA,39.30643808,-23.40207856,-51.43807129,0.76915083
Arar,ASIA,23.58386286,30.98256298,41.02222559,0.670034713
Ararangua,SOUTH AMERICA,28.58650043,-28.93317753,-49.49859132,0.709188135
Ararat,AUSTRALIA,10.71993766,-37.27910039,142.9218224,0.601363296
Arauca,SOUTH AMERICA,8.575950128,7.0806397,-70.76048142,0.627937339
Araxa,SOUTH AMERICA,27.1571754,-19.58693971,-46.94284949,0.711824666
Arba Minch,AFRICA,25.52679104,6.052831465,37.57461543,0.463467942
Arcata,NORTH AMERICA,21.43987532,40.88276599,-124.0864177,0.632652176
