City,Region,tif_count,Latitude,Longitude,Brightness
Amahai,MELANESIA,4.000003196,-3.331250002,128.9145833,0.015712533
Amapa,SOUTH AMERICA,4.000003201,2.054166665,-50.79583333,0.138097392
Amarillo,NORTH AMERICA,204.0001632,35.19677287,-101.8606618,1.908769576
Amasya,ASIA,24.0000192,40.66111111,35.82291667,1.011728876
Ambala,ASIA,2711.799069,30.29573653,76.91802287,0.393806951
Ambanja,AFRICA,6.000004801,-13.6625,48.44861111,0.029665364
Ambato,SOUTH AMERICA,139.794333,-1.248855925,-78.6041167,0.480787624
Ambatondrazaka,AFRICA,12.0000096,-17.82291667,48.41527778,0.014571807
Ambon,MELANESIA,36.00002879,-3.679629631,128.1891204,0.363806247
Amderma,EUROPE,1.0000008,69.76666666,61.65833334,0.171079789
Americana,SOUTH AMERICA,382.9712517,-22.77413934,-47.32812024,1.992932866
Ames,NORTH AMERICA,62.0000496,42.02983871,-93.64596774,1.844590543
Amherst,NORTH AMERICA,16.0000128,45.83072916,-64.21197916,0.588791241
Amiens,EUROPE,126.0001008,49.89398148,2.29656085,1.530723884
Amman,ASIA,748.0005984,31.96193182,35.93147282,2.484273885
Ammochostos,ASIA,33.0000264,35.12929293,33.92045455,0.996244968
Amol,ASIA,112.0000896,36.47782738,52.34933036,1.227555364
Amos,NORTH AMERICA,18.0000144,48.58009259,-78.11898148,1.192559411
Amravati,ASIA,183.0001464,20.93278688,77.74899818,0.592162225
Amritsar,ASIA,29322.15163,31.54294834,75.41465016,0.322431895
Amsterdam,EUROPE,569.0004552,52.35597539,4.863429997,3.449368412
Amursk,ASIA,23.0000184,50.23695652,136.8942029,0.769808591
An Najaf,ASIA,176.0001408,32.01780303,44.37954546,3.058771598
An Nasiriyah,ASIA,70.000056,31.05666666,46.24630953,2.619418867
Anaco,SOUTH AMERICA,51.0000408,9.438235292,-64.46846405,4.800478806
Anapolis,SOUTH AMERICA,131.0001048,-16.33008906,-48.95184478,1.422598116
Anatuya,SOUTH AMERICA,14.0000112,-28.45357143,-62.83809523,1.10107379
Anbyon,ASIA,7.0000056,39.04880952,127.5178571,0.00355547
Anchorage,NORTH AMERICA,402.0003216,61.17327943,-149.8504353,4.428055884
Ancona,EUROPE,90.00007201,43.55,13.51314815,2.124653428
