City,Region,tif_count_2000,tif_count_2021,Latitude,Longitude,2000 Population,2021 Population,Population Change
Albuquerque,NORTH AMERICA,744,744,35.14115143,-106.6345206,556329.9999,695136.9999,138807
Albury,AUSTRALIA,49,49,-36.06088435,146.9219388,48148.99996,36272.99997,-11875.99998
Aldama,NORTH AMERICA,5.999999999,5.999999999,22.925,-98.07916667,309,7344.999989,7035.999989
Aldan,ASIA,31,31,58.61854839,125.3768817,90872.99986,12377.99999,-78494.99988
Aleksandrovsk,ASIA,18,18,50.90092593,142.1550926,2359.999994,7819.999983,5459.999989
Alekseyevka,EUROPE,32,32,50.63463542,38.68385417,40468.99995,17674.99999,-22793.99996
Aleksin,EUROPE,56,56,54.51279762,37.06145833,60266.9999,32950.99996,-27315.99993
Aleppo,ASIA,291,291,36.21317297,37.16033792,2124291,899343.9996,-1224947
Alexandria1,NORTH AMERICA,134,134,31.31511194,-92.45273632,63019.99996,75247.99995,12227.99999
Alexandria2,NORTH AMERICA,1421.829432,1421.829432,38.87769414,-77.26796959,1342601.089,1736238.023,393636.9342
Alexandria3,AFRICA,484.9999999,494.9999999,31.19630952,30.01256803,4090457.997,5404594.998,1314137
Alexandroupoli,EUROPE,25.99999997,25.99999998,40.85865385,25.88621795,39078.99995,45213.99997,6135.000027
Aleysk,ASIA,37,37,52.49369369,82.76756757,28333.99996,23175.99997,-5157.999995
Algeciras,EUROPE,56.11564245,56.11564246,36.15517869,-5.451713341,94346.3396,103749.733,9403.393349
Algha,ASIA,20,20,49.90916667,57.32166667,22906.99996,14890.99999,-8015.999975
Algiers,AFRICA,1850,1850,36.66834234,3.090941441,4467456.997,5500534.995,1033077.998
Ali Bayramli,ASIA,27,27,39.94938272,48.92376543,144749.9998,86079.99985,-58669.99996
Ali Sabih,AFRICA,8.000000001,8.000000001,11.15625,42.70104167,609.9999982,46313.9999,45703.9999
Alicante,EUROPE,180.9999999,181,38.39263352,-0.490699816,417945.9997,334330.9996,-83615.00009
Alice,NORTH AMERICA,31,31,27.75698925,-98.07768817,23389.99998,20088.99998,-3301.000001
Alice Springs,AUSTRALIA,30,30,-23.69416667,133.8711111,1140.999998,19493.99996,18352.99997
Aligarh,ASIA,10141.30124,10141.30124,27.99065506,78.15303466,8071452.318,9821737.904,1750285.586
Alipur Duar,ASIA,6879.15195,6879.15195,26.39425849,89.80526869,5777299.864,5658422.914,-118876.9494
Aliwal North,AFRICA,12,12,-30.69305556,26.70972222,24455.9999,19898.99996,-4556.999946
Allahabad,ASIA,9655.722996,9655.722996,25.33286691,81.70001008,8801225.144,11907770.03,3106544.888
Allanmyo,ASIA,18.99999998,18.99999998,19.35701754,95.21359649,12299.99994,51439.99986,39139.99992
Allappey,ASIA,2411.914574,2412.914574,9.533530475,76.52759651,3594727.891,3282193.447,-312534.4434
