City,Region,tif_count,Latitude,Longitude,Elevation
Appleton,NORTH AMERICA,311.8951695,44.25426041,-88.41092179,249.789
Apsheronsk,EUROPE,43,44.46143411,39.72344961,323.851
Apucarana,SOUTH AMERICA,55,-23.54272727,-51.45545455,573.122
Aqadyr,ASIA,5,48.27,72.86,664.606
Aqsay,ASIA,17,51.1745098,52.99460784,94.4602941
Aqtau,ASIA,7,43.63571429,51.23452381,-2.558
Aqtobe,ASIA,96,50.29444444,57.18559028,324.727
Aquidauana,SOUTH AMERICA,42,-20.46686508,-55.79325397,252.668
Ar Ramadi,ASIA,72,33.43310185,43.29282407,61.333
Ar Raqqah,ASIA,55,35.95636364,39.00924242,398.1347182
Ar Rutbah,ASIA,10,33.04166667,40.27916667,547.5
Aracaju,SOUTH AMERICA,243,-10.89883402,-37.10967078,200.3413765
Aracati,SOUTH AMERICA,6,-4.558333333,-37.77083333,12.887
Aracatuba,SOUTH AMERICA,79,-21.2021097,-50.44694093,412.923
Aracuai,SOUTH AMERICA,13,-16.85192308,-42.06858974,682.586
Arad,EUROPE,86.00000001,46.18391473,21.3119186,122.297
Araguaina,SOUTH AMERICA,17,-7.183333333,-48.20931373,243.875
Araguari,SOUTH AMERICA,49.99999999,-18.64466667,-48.19383333,714.877
Arak,ASIA,92.99999998,34.08960573,49.68862007,1872.942
Aral,ASIA,23,46.80543478,61.6576087,67.783
Aranyaprathet,ASIA,11,13.69469697,102.4977273,92.862
Arapiraca,SOUTH AMERICA,22,-9.738257576,-36.67121212,299.614
Arapongas,SOUTH AMERICA,54.99999999,-23.40287879,-51.43727273,573.122
Arar,ASIA,33,30.98181818,41.0229798,526.8564274
Ararangua,SOUTH AMERICA,40,-28.93395833,-49.49791667,559.78
Ararat,AUSTRALIA,15,-37.28,142.9227778,265.112
Arauca,SOUTH AMERICA,12,7.079861111,-70.75972222,120.519
Araxa,SOUTH AMERICA,38,-19.5877193,-46.94210526,1015.377
Arba Minch,AFRICA,36,6.052083333,37.57569444,1584.289
Arcata,NORTH AMERICA,30,40.88194444,-124.0855556,72.275
Archangel,EUROPE,319,64.55535528,40.57850052,38.312
Arcoverde,SOUTH AMERICA,14,-8.413095238,-37.05654762,554.929
Arctic Bay,NORTH AMERICA,1,73.04166667,-85.175,125.805
