City,Region,tif_count,Latitude,Longitude,wc2.1_5m_bio_18.tif,wc2.1_5m_bio_11.tif,wc2.1_5m_bio_19.tif,wc2.1_5m_bio_13.tif,wc2.1_5m_bio_10.tif,wc2.1_5m_bio_3.tif,wc2.1_5m_bio_9.tif,wc2.1_5m_bio_14.tif,wc2.1_5m_bio_2.tif,wc2.1_5m_bio_16.tif,wc2.1_5m_bio_8.tif,wc2.1_5m_bio_5.tif,wc2.1_5m_bio_6.tif,wc2.1_5m_bio_1.tif,wc2.1_5m_bio_12.tif,wc2.1_5m_bio_7.tif,wc2.1_5m_bio_17.tif,wc2.1_5m_bio_4.tif,wc2.1_5m_bio_15.tif
Adana,ASIA,2.45,37.0414966,35.28469388,32.69795918,10.18972119,333.2040816,130.6653061,27.09861219,38.77365066,27.09861219,7.587755101,11.16834752,333.2040816,10.65344089,33.30312305,4.49833475,18.74636022,703.8163265,28.80478804,32.69795918,695.1595329,68.5189829
Adapazari,ASIA,1.67,40.78792415,30.35429142,139.7724551,6.663253447,263.0658683,106.8443114,22.03674847,36.59427515,21.33745802,43.2754491,9.373937138,275.2754491,8.125246636,28.1476944,2.532053873,14.21529519,783.3413173,25.61564075,136.742515,631.968534,30.25118827
Addis Ababa,AFRICA,13.99,8.750357398,38.98820586,206.6383131,16.2274729,56.29807008,219.2380272,18.76856855,76.85602325,16.23510129,5.293781272,14.20510716,550.0192995,16.9179132,26.31159474,7.839750612,17.36069669,935.6325947,18.4718443,30.80057184,105.3174066,92.10869082
Adelaide,AUSTRALIA,9.46,-34.87041931,138.5543517,69.36575052,11.18542862,228.5930232,81.66279068,21.20414135,47.12337127,21.09972431,17.98731501,10.12553762,228.5930232,11.18542862,28.25140178,6.778137796,16.18214353,578.4217758,21.47326395,68.09830866,408.1460522,45.18061012
Aden,ASIA,0.42,12.83928571,44.98015873,9.380952381,25.27289173,13.85714286,7.928571429,31.82132117,48.05303828,31.5210025,1.69047619,7.35066583,17.85714286,25.57804553,36.35498301,21.06498364,28.59758304,52.92857143,15.28999937,8.380952381,274.7402155,38.22364644
Adi Ugri,AFRICA,3.029569378,14.91167993,38.77448093,138.0335765,18.2195049,23.58825294,196.2779778,22.48517872,71.82493489,18.40252251,2.10906851,14.57555288,440.6797909,20.70142677,30.65926429,10.36751052,20.21560243,627.8926056,20.29175362,13.77654063,166.4093167,127.1535698
Adigrat,AFRICA,0.4,14.3,39.43333333,139.2,13.22866688,28.6,167,17.38123283,72.10943909,13.83706665,4.8,14.90761681,357,16.37653351,25.18019981,4.506600094,15.35040855,570.6,20.67359962,25,164.8786102,112.0039566
Adiyaman,ASIA,1.35,37.79814815,38.22962963,12.64444444,5.340960524,301.6222222,118.5555556,28.21744566,31.35816762,28.13878437,1,11.53934027,301.6222222,5.340960524,37.08640659,0.293681494,16.67583092,610.962963,36.7927254,8,936.8426744,78.23977712
Ado Ekiti,AFRICA,18.04388462,7.749430408,5.078419984,231.726221,23.15209632,559.7507572,243.5005358,26.38497332,67.61896829,24.98254775,7.933509332,9.289629896,562.4373394,23.27149376,32.08149206,18.33735067,24.67585342,1355.085375,13.74414139,47.8447247,126.0613286,69.03828923
Adrar,AFRICA,0.36,27.90972222,-0.333333333,1,14.10479156,3,3,36.13111083,39.27748744,33.41947142,0,15.7757357,7,25.54449972,45.41366514,5.24966685,25.11704763,12.91666667,40.16399701,0,894.7846883,48.18495846
Afyon,ASIA,0.84,38.80257937,30.52380952,68.30952381,1.103454401,172.4047619,67.25,20.45267834,36.10285446,20.06269671,12,11.85173213,172.4047619,1.103454401,29.10491671,-3.721749998,10.83627001,495.5119048,32.8266671,45.79761905,788.0375824,41.58320795
Agadez,AFRICA,0.39,17.01709402,7.94017094,53.02564103,21.37999544,0,48.51282051,33.53484198,49.91383078,25.31777323,0,14.59677148,97.92307692,31.50475659,41.63612757,12.39243534,28.44383611,114.3589744,29.24369225,0,503.9012647,156.3003501
Agadir,AFRICA,1.65,30.43888889,-9.589393939,4.139393939,14.66671091,119.4666667,49.41818182,22.81988663,50.46684577,22.30406741,0.042424243,9.784630289,119.4666667,14.66671091,27.59936516,8.218123032,18.81865572,208.4909091,19.38124229,3.151515151,322.1594392,89.80658662
Agana,MICRONESIA,0.7,13.52738095,144.7488095,527.3571429,25.9675793,278.5714286,350.5285714,27.37515346,76.20928628,26.35682237,74.77142857,5.75545952,969.5,27.0008106,30.50123005,22.94896428,26.79085129,2217.171429,7.552265767,246.6428571,57.26162409,52.97929219
Agartala,ASIA,50.02963516,24.08841631,91.14962297,1159.063702,19.25985385,32.86531102,458.0893785,28.15019272,45.10134788,19.25985385,5.224025771,9.968513893,1176.486484,28.11484227,32.79437217,10.70041436,25.07351839,2220.815315,22.09395777,32.86531102,383.6449278,86.49243405
Agboville,AFRICA,0.34,5.985294118,-4.25,313.1764706,25.34503006,286.8235294,247.4705882,28.19172534,69.94570833,27.4177356,12.17647059,7.65924033,582.8823529,27.46122607,32.70158835,21.75200036,26.90648808,1335.235294,10.94958799,94.05882353,112.5775452,60.84212112
Agen,EUROPE,0.8,44.24375,0.592708333,186.45,5.978137702,250.35,90.8,19.74303775,40.0311306,19.74303775,56.7625,10.0919582,259.325,9.083562218,26.68441298,1.473887481,12.65546346,924.1125,25.21052511,186.45,567.3218811,14.10045115
Agordat,AFRICA,0.1,15.58333333,37.83333333,52,26.33566666,2,114,31.63216782,66.60106659,26.33566666,0,14.72149944,266,28.4798336,40.18000031,18.07600021,28.88633347,335,22.10400009,2,215.2813873,142.0162811
Agra,ASIA,42.65955724,27.21342208,78.10458683,284.1420834,15.80152146,33.59040379,261.2381433,33.07955336,39.49143198,19.07219228,3.283029476,13.804144,624.3466686,29.61084316,41.9220273,6.967131454,25.42856466,783.7752358,34.95489593,26.58145012,701.1715974,137.0824883
Agri,ASIA,0.38,39.75,42.99561404,63.94736842,-7.806227935,119.8421053,71.94736842,19.00578931,29.22644916,19.00578931,19,12.88409223,181.9473684,11.20648239,29.38321104,-14.70031588,6.375817901,506.6842105,44.08352601,63.94736842,1099.515323,36.94372478
Agrinio,EUROPE,0.46,38.66666667,21.35688406,47.95652174,8.647789686,332.9565217,149.7608696,24.08934776,41.31613508,24.08934776,14,12.05092754,374.0217391,12.08189156,32.39962876,3.235543516,16.09441088,838.1956522,29.1640856,47.95652174,639.4575089,65.46668791
Agua Prieta,NORTH AMERICA,0.55,31.37121212,-109.5833333,181.1818182,8.543075562,67,89.09090909,25.63774178,50.33564342,20.6377267,6.545454546,18.44487156,206.6363636,24.89224243,35.49354484,-1.149454518,17.01176955,360.2727273,36.64300086,27.09090909,701.3049205,86.60914751
Aguascalientes,NORTH AMERICA,1.81,21.94337017,-102.3342541,211.3425414,13.26041985,32.44751381,121.6961326,20.6849383,63.28362544,16.318415,1.464088398,17.05051875,309.9558011,19.55886164,30.2212486,3.278314932,17.34884928,481.7734807,26.94293392,14.08287293,304.4901335,105.542679
Ahar,ASIA,0.2,38.5,47.0125,47,-0.837841639,64,55,21.44905882,32.02818317,21.12029152,7,11.72637949,132.85,9.639166403,29.79355049,-6.819300056,10.54320641,319.7,36.61284981,30,905.956015,50.74796619
Ahmadabad,ASIA,82.59250416,22.99959385,72.66739819,90.08823515,20.82508071,5.253776057,278.5057689,32.34320065,45.88935771,25.9387894,0.709023181,13.68810649,631.541126,28.55144791,41.00106747,11.16771997,27.00741288,748.9799381,29.83334749,3.816538991,450.5907947,153.2154514
Ahmednagar,ASIA,1.5,19.14277778,74.71166667,112.0466667,21.30651882,36.55333333,138.8,29.61921471,51.51206479,23.67666917,1,13.7583074,290.38,24.9989716,38.88353951,12.17473332,25.24822568,508.5666667,26.70880554,5,330.517745,101.7795261
Ahwaz,ASIA,2.67,31.35205993,48.62765293,0,13.38997877,156.1348315,62.46067416,36.29356006,37.75283961,36.29356006,0,14.66091378,156.1348315,13.82225842,45.7136928,6.881471945,25.25352658,255.2883895,38.83222026,0,935.9029319,106.3440307
Aigua,SOUTH AMERICA,0.04,-34.16666667,-54.83333333,291,10.78416634,327,116,21.3484993,45.66860199,20.07816696,87,9.841583252,334,13.74699974,27.51099968,5.960999966,16.05904198,1245,21.54999924,281,433.4312744,7.294603348
Aiken,NORTH AMERICA,0.91,33.57783883,-81.76373626,361.8571429,7.945472434,314.2307692,121.8461538,26.12951178,42.44398691,17.76259577,70.48351648,14.16923519,361.8571429,26.12951178,33.68713215,0.303648362,17.2326967,1204.593407,33.38348296,232.8021978,735.9405994,19.0589114
Aiquile,SOUTH AMERICA,0.04,-18.16666667,-65.25,181,14.48050022,7,128,20.0126667,66.49513245,14.48050022,1,15.57050037,342,19.53033257,28.28899956,4.873000145,17.71674919,564,23.41600037,7,232.1339264,99.96842957
Aix-en-Provence,EUROPE,0.95,43.57631579,5.385087719,93.22105263,6.753773685,173.7789474,95.6,22.0258917,37.39128567,22.0258917,14.89473684,10.3339578,231.1263158,14.55751944,29.49173708,1.855347343,13.99137528,663.7578947,27.63638934,93.22105263,626.8085012,35.59086565
Aizawl,ASIA,0.5,23.745,92.66666667,1095.42,16.79707733,49.7,429.84,23.84749352,49.42504982,16.79707733,9.82,9.46551796,1095.42,23.84749352,28.94607933,9.794060211,21.3857515,2222.66,19.15201912,49.7,304.3350147,80.07202622
Ajaccio,EUROPE,0.62,41.97849462,8.711021505,83.74193548,8.768621829,201,98.85483871,21.70466051,38.95905968,21.52459612,9.741935484,9.315910785,266.9516129,12.64093268,28.01283335,4.115254129,14.78129396,662.9032258,23.89757962,54.33870968,539.4588771,49.2269324
Ajdabiya,AFRICA,0.22,30.81439394,20.16666667,0.772727272,13.79530334,96.09090909,38.77272727,26.86608436,46.45146075,26.86608436,0,11.59432559,96.09090909,13.79530334,33.15177328,8.191636692,20.81583743,131.0909091,24.96013607,0.772727272,548.1506653,117.7677172
Ajmer,ASIA,2.07,26.50201288,74.62238325,230.1352657,16.79968747,9.579710145,180.8357488,31.65624695,42.15449201,23.76824874,1.77294686,13.52343618,412.4299517,28.38429569,39.56299497,7.492555517,25.10669142,489.2753623,32.07043979,7.990338164,601.4505471,153.8362592
Aketi,AFRICA,0.17,2.759803922,23.75,478.5294118,24.79870516,508.2352941,221.1176471,25.66327443,80.92940566,25.12344136,42.88235294,10.50533328,576.2352941,24.85450947,31.93770532,18.95676467,25.166054,1659.647059,12.98094065,163.6470588,36.88390844,40.25121173
Akhtubinsk,EUROPE,0.32,48.32291667,46.12760417,83.78125,-6.241807192,72.90625,35,22.7409423,23.7445429,0.911260448,18.875,9.733354001,89.03125,20.88930726,30.26140618,-10.72359377,8.489239513,294.5625,40.98499882,58.34375,1181.949066,20.55971533
Akita,ASIA,1.51,39.77152318,140.0524283,496.1523179,0.813881527,414.1390729,172.9006623,22.40180065,23.96921949,8.747906224,96.47682119,7.541942025,496.1523179,22.40180065,28.39842719,-3.061791766,11.31528144,1626.271523,31.46021862,297.1655629,889.9773297,21.30757549
Akola,ASIA,2.15,20.74418605,76.9496124,137.655814,22.69167056,18.93953488,196.5813953,33.39393234,46.32524803,23.43302706,3,13.16380817,500.7860465,27.06954913,42.56475253,14.14954418,27.58288277,710.4837209,28.41520868,13.90697674,417.0604461,122.3146411
